Gauge_ID	PSMSL_ID	Station_Name	Country	Basin	Station_Lat	Station_Lon	GPD_Record_Start	GPD_Record_End	MHHW_Exceedances_per_Year
358a	133	Hosojima	Japan	pacific	32.42	131.68	1933	1975	161.7806598
365a	NA	Ishigaki	Japan	pacific	24.33	124.15	1969	2018	227.3525715
gesla_0187	1005801300	Kagoshima	Japan	pacific	31.583	130.567	1964	2013	169.6026973
gesla_0265	846	Kobe	Japan	pacific	34.683	135.183	1964	2013	347.6770706
gesla_0214	1184	Kochi	Japan	pacific	33.5	133.567	1967	2013	167.5217055
gesla_0334	809	Komatsushima	Japan	pacific	34.017	134.583	1963	2013	278.3504793
gesla_0229	1386	Kuchinotsu	Japan	pacific	32.6	130.2	1967	2013	169.38998
353a	134	Kushimoto	Japan	pacific	33.48	135.77	1961	2018	185.2359447
350a	518	Kushiro	Japan	pacific	42.97	144.37	1963	2018	187.962988
356a	1089	Maisaka	Japan	pacific	34.68	137.62	1968	2018	300.7324465
gesla_0721	663	Maizuru	Japan	pacific	35.467	135.383	1968	2013	169.1681111
gesla_0977	1005801300	Makurazaki	Japan	pacific	31.267	130.3	1964	2013	193.6451111
gesla_1229	1062	Matsuyama	Japan	pacific	33.867	132.717	1960	2013	354.5088609
352a	359	Mera	Japan	pacific	34.92	139.82	1965	2018	177.5411785
gesla_0147	810	Misumi	Japan	pacific	32.617	130.45	1960	2012	181.6106362
357a	1060	Miyakejima	Japan	pacific	34.07	139.47	1964	2018	164.0542176
gesla_1188	1149	Miyako	Japan	pacific	39.65	141.983	1960	2013	198.9058301
gesla_0682	1390	Murotomisaki	Japan	pacific	33.267	134.167	1966	2013	166.8206283
362a	1100	Nagasaki	Japan	pacific	32.73	129.87	1985	2018	196.7794675
gesla_0567	860	Nagoya	Japan	pacific	35.083	136.883	1960	2013	180.0351956
355a	1151	Naha	Japan	pacific	26.22	127.67	1966	2018	176.0324573
345a	1105	Nakano Shima	Japan	pacific	29.83	129.83	1984	2018	181.8573638
359a	1018	Naze	Japan	pacific	28.4	129.48	1957	2018	177.1041867
363a	1096	Nishinoomote	Japan	pacific	30.73	130.98	1965	2018	196.2603101
351a	1364	Ofunato	Japan	pacific	39.02	141.75	1965	2018	204.5901399
gesla_0653	1091	Okada	Japan	pacific	34.783	139.383	1960	2013	217.1152836
gesla_0690	1263	Omaezaki	Japan	pacific	34.617	138.217	1960	2013	169.504268
gesla_0541	1102	Oura	Japan	pacific	32.983	130.217	1967	2013	177.6041736
gesla_0962	1146	Owase	Japan	pacific	34.067	136.217	1965	2013	175.2486812
gesla_0473	1095	Saigo	Japan	pacific	36.2	133.333	1960	2013	167.1975453
gesla_1052	811	Sakai	Japan	pacific	35.55	133.25	1960	2013	175.353619
gesla_0438	808	Shimizuminato	Japan	pacific	35.017	138.517	1964	2013	185.8598162
gesla_1087	1150	Shirahama	Japan	pacific	33.683	135.383	1967	2013	180.7013758
gesla_0525	1098	Sumoto	Japan	pacific	34.35	134.9	1964	2013	359.8702857
gesla_0684	847	Takamatsu	Japan	pacific	34.35	134.05	1964	2013	0.394468873
gesla_0086	817	Tannowa	Japan	pacific	34.333	135.183	1966	2013	360.157684
gesla_0047	1545	Tokyo	Japan	pacific	35.65	139.767	1960	2013	196.8322619
gesla_0922	815	Tosashimizu	Japan	pacific	32.783	132.967	1960	2013	163.7292997
349a	1389	Toyama	Japan	pacific	36.77	137.23	1967	2018	171.7923242
gesla_1219	407	Uchiura	Japan	pacific	35.017	138.883	1960	2013	190.380982
gesla_0956	812	Uno	Japan	pacific	34.483	133.95	1964	2013	0.139206494
gesla_0676	1090	Uragami	Japan	pacific	33.567	135.9	1962	2013	166.5850729
gesla_0851	1212	Uwajima	Japan	pacific	33.233	132.55	1963	2013	358.9098548
gesla_0790	816	Wakayama	Japan	pacific	34.217	135.15	1966	2013	280.0708569
360a	1103	Wakkanai	Japan	pacific	45.4	141.68	1967	2018	142.0481538
gesla_0619	722	Yokohama	Japan	pacific	35.467	139.633	1960	2006	198.3970059
320a	1592	Cendering	Malaysia	pacific	5.25	103.18	1984	2015	148.9215228
326a	1703	Geting	Malaysia	pacific	6.22	102.1	1986	2015	119.6964694
321a	248	Johor Baharu	Malaysia	pacific	1.45	103.78	1983	2013	26.30177294
140a	1591	Kelang	Malaysia	indian	3.05	101.35	1983	2015	142.126718
141a	1593	Keling	Malaysia	indian	2.2	102.15	1984	2015	106.3706968
322a	1589	Kuantan	Malaysia	pacific	3.97	103.42	1983	2015	133.3860026
325a	1677	Kukup	Malaysia	pacific	1.32	103.43	1985	2015	10.54097786
142a	1676	Langkawi	Malaysia	indian	6.87	99.77	1985	2017	189.9124155
143a	1594	Lumut	Malaysia	indian	4.23	100.6	1984	2015	127.8824938
144a	1595	Penang	Malaysia	indian	5.42	100.33	1984	2015	151.0578667
324a	1702	Sedili	Malaysia	pacific	1.92	104.1	1986	2015	166.9905656
323a	1678	Tioman	Malaysia	pacific	2.8	104.13	1985	2015	151.8794521
103c	477	Port Louis-C	Mauritius	indian	-20.15	57.48	1986	2017	190.3606219
105a	1672	Rodrigues	Mauritius	indian	-19.67	63.42	1986	2017	179.9476273
316a	686	"Acapulco-A,Gro."	Mexico	pacific	16.83	-99.9	1952	1995	170.1738875
034a	1355	Cabo San Lucas	Mexico	pacific	22.87	-109.9	1973	2003	164.2529648
317a	795	Ensenada	Mexico	pacific	31.85	-116.63	1956	1991	164.9041175
397a	693	Guaymas	Mexico	pacific	27.93	-110.9	1953	1986	162.6601965
395a	737	Manzanillo-A	Mexico	pacific	19.05	-104.32	1953	1982	155.7657225
394a	689	Salina Cruz	Mexico	pacific	16.15	-95.2	1952	1991	174.8208167
gesla_0681	24	Delfzijl	Netherlands	atlantic	53.326	6.933	1971	2014	325.8064879
gesla_0330	23	Den Helder	Netherlands	atlantic	52.965	4.746	1971	2014	110.3546377
gesla_0928	22	Hoek van Holland	Netherlands	atlantic	51.977	4.12	1971	2014	111.8933963
gesla_0891	852	Noumea	New Caledonia	atlantic	-22.292	166.437	1967	1998	153.9319208
398a	1065	Marsden Point	New Zealand	pacific	-35.83	174.5	1975	2018	129.1789995
668a	1750	Napier	New Zealand	pacific	-39.48	176.92	1989	2018	163.6389399
076a	996	Taranaki	New Zealand	pacific	-39.05	174.03	1955	2018	182.8964241
073a	1590	Tauranga	New Zealand	pacific	-37.65	176.18	1984	2018	215.2160167
071a	221	Wellington	New Zealand	pacific	-41.28	174.78	1944	2018	86.0344026
gesla_0470	313	Heimsjoe	Norway	atlantic	63.425	9.101	1970	2015	156.5911683
gesla_1015	1267	Honningsvaag	Norway	atlantic	70.98	25.973	1970	2015	199.2225868
gesla_1207	486	Maaloey	Norway	atlantic	61.934	5.113	1970	2015	125.3489197
823a	1421	Ny-Alesund	Norway	atlantic	78.93	11.95	1976	2014	170.9046808
gesla_0911	62	Oslo	Norway	atlantic	59.909	10.734	1970	2015	99.29073965
803a	1241	Rorvik	Norway	atlantic	64.87	11.25	1969	2014	180.7744248
804a	302	Tregde	Norway	atlantic	58	7.57	1927	2008	110.0435335
805a	524	Vardo	Norway	atlantic	70.33	31.1	1947	2014	161.5599544
302a	163	Balboa	Panama	pacific	8.95	-79.57	1907	2018	191.9204511
266a	169	Cristobal	Panama	atlantic	9.35	-79.9	1907	2017	352.1526365
010a	1164	Rabaul	Papua New Guinea	pacific	-4.2	152.17	1966	1997	160.9589625
093b	1274	Callao-B	Peru	pacific	-12.07	-77.17	1970	2017	154.789287
084a	1009602800	Lobos de Afuera	Peru	pacific	-6.93	-80.72	1982	2016	174.166287
371a	522	Legaspi	Philippines	pacific	13.13	123.75	1984	2017	183.9649509
370a	145	Manila	Philippines	pacific	14.58	120.97	1984	2014	186.4666849
gesla_0093	645	Wladyslawowo	Poland	atlantic	54.797	18.419	1962	2003	131.345226
209a	52	Cascais	Portugal	atlantic	38.68	-9.42	1959	2005	153.5301677
218b	1030	Funchal-B	Portugal	atlantic	32.63	-16.9	1976	2013	194.1861117
011b	1371	Christmas-B	Rep. of Kiribati	pacific	1.97	-157.47	1974	2018	184.375063
013b	575	Kanton-B	Rep. of Kiribati	pacific	-2.8	-171.72	1972	2018	216.477161
109a	1707	Gan	Rep. of Maldives	indian	-0.68	73.15	1987	2017	169.3666913
055a	513	Kwajalein	Rep. of Marshall Islands	pacific	8.73	167.73	1946	2018	193.479756
005a	1217	Majuro-A	Rep. of Marshall Islands	pacific	7.1	171.37	1968	1999	193.4168076
007b	1252	Malakal-B	Republic of Belau	pacific	7.32	134.45	1969	2017	158.4154084
340a	1356	Kaohsiung	Republic of China	pacific	22.6	120.28	1980	2016	195.8724864
341a	545	Keelung	Republic of China	pacific	25.15	121.75	1980	2016	126.2253644
699a	1746	Tanjong Pagar	Singapore	pacific	1.25	103.85	1988	2018	18.30559226
184a	820	Port Elizabeth	South Africa	indian	-33.95	25.62	1973	2016	164.0369874
221a	826	Simon's Town	South Africa	atlantic	-34.18	18.43	1959	2016	163.4427315
gesla_0169	593	Arrecife	Spain	atlantic	28.972	-13.53	1949	2012	178.5573535
gesla_0199	209	Cadiz	Spain	atlantic	36.533	-6.283	1961	2012	167.5691195
207a	498	Ceuta	Spain	atlantic	35.9	-5.32	1944	2013	160.2130324
830a	484	La Coruna	Spain	atlantic	43.37	-8.4	1943	2013	184.0294118
gesla_0266	496	Malaga	Spain	atlantic	36.717	-4.417	1944	2012	157.9801038
gesla_0113	485	Santander	Spain	atlantic	43.461	-3.791	1943	2010	182.9391379
gesla_1085	485	Santander	Spain	atlantic	43.467	-3.8	1943	2010	183.9229671
gesla_0072	488	Tarifa	Spain	atlantic	36	-5.6	1944	2012	242.6227153
208a	483	Vigo	Spain	atlantic	42.23	-8.73	1943	1990	177.7746945
gesla_0752	2103	Forsmark	Sweden	atlantic	60.409	18.211	1975	2015	129.9510156
gesla_0484	203	Furuogrund	Sweden	atlantic	64.916	21.231	1960	2015	127.5727219
819a	1236	Goteborg-Torsh.	Sweden	atlantic	57.68	11.78	1967	2014	114.6940907
gesla_0352	2101	Kalix	Sweden	atlantic	65.697	23.096	1974	2015	117.0187824
gesla_0448	330	Klagshamn	Sweden	atlantic	55.522	12.894	1960	2015	96.77355496
gesla_0290	70	Kungsholmsfort	Sweden	atlantic	56.105	15.589	1960	2015	122.9701317
gesla_0691	2113	Kungsvik	Sweden	atlantic	58.997	11.127	1973	2015	121.2765577
gesla_0382	68	Landsort	Sweden	atlantic	58.742	17.865	1960	2006	154.4223709
gesla_0160	2104	Marviken	Sweden	atlantic	58.554	16.837	1964	2015	144.3093006
gesla_0183	69	Olands Norra Udde	Sweden	atlantic	57.366	17.097	1960	2015	142.935672
gesla_1010	2106	Oskarshamn	Sweden	atlantic	57.275	16.478	1960	2015	138.7940425
gesla_0467	88	Ratan	Sweden	atlantic	63.986	20.895	1960	2015	131.4314233
gesla_0301	2111	Ringhals	Sweden	atlantic	57.25	12.113	1967	2015	130.035737
gesla_0362	2102	Skagsudde	Sweden	atlantic	63.191	19.012	1982	2015	129.5803942
gesla_1206	179	Smogen	Sweden	atlantic	58.354	11.218	1960	2015	123.865269
gesla_0613	122	Spikarna	Sweden	atlantic	62.363	17.531	1968	2015	135.1124559
gesla_0335	2112	Stenungsund	Sweden	atlantic	58.093	11.832	1962	2015	110.1063864
826a	78	Stockholm	Sweden	atlantic	59.32	18.07	1889	2014	146.3192829
gesla_1146	2110	Viken	Sweden	atlantic	56.142	12.579	1976	2015	107.5563769
gesla_1048	2105	Visby	Sweden	atlantic	57.639	18.284	1960	2015	147.9665893
151a	1600	Zanzibar	Tanzania	indian	-6.15	39.18	1984	2017	66.78371239
328a	174	Ko Lak	Thailand	pacific	11.78	99.82	1985	2017	170.7283245
148a	446	Ko Taphao Noi	Thailand	indian	7.82	98.42	1985	2017	191.7142279
gesla_0828	361	Aberdeen	United Kingdom	atlantic	57.143	-2.075	1930	2014	158.2241135
259b	368	Bermuda-B	United Kingdom	atlantic	32.37	-64.7	1985	2018	149.0086488
gesla_0064	1632	Cromer	United Kingdom	atlantic	52.934	1.302	1973	2014	143.3253792
700a	913	Faraday	United Kingdom	atlantic	-65.25	-64.27	1959	2018	160.5703352
gesla_0446	1731	Fishguard	United Kingdom	atlantic	52.014	-4.983	1963	2014	153.320177
289a	490	Gibraltar-A	United Kingdom	atlantic	36.13	-5.35	1961	2014	119.0884884
gesla_1233	936	Heysham	United Kingdom	atlantic	54.032	-2.92	1964	2014	192.8602611
gesla_0489	5	Holyhead	United Kingdom	atlantic	53.308	-4.631	1964	2014	120.5863332
gesla_0322	1214	Ilfracombe	United Kingdom	atlantic	51.211	-4.111	1968	2014	177.683506
gesla_0205	286	Immingham	United Kingdom	atlantic	53.631	-0.186	1953	2014	110.0723801
293a	830	Lerwick	United Kingdom	atlantic	60.15	-1.13	1959	2016	183.3394876
gesla_0593	754	Lowestoft	United Kingdom	atlantic	52.473	1.751	1964	2014	145.8943466
gesla_1059	1700	Milford Haven	United Kingdom	atlantic	51.702	-5.014	1953	2014	177.4742392
gesla_0665	755	Millport	United Kingdom	atlantic	55.75	-4.906	1978	2014	131.5648236
gesla_0560	1548	Newhaven	United Kingdom	atlantic	50.782	0.057	1982	2014	153.7287651
294a	202	"Newlyn, Cornwall"	United Kingdom	atlantic	50.1	-5.53	1915	2016	186.7039079
gesla_0520	95	North Shields	United Kingdom	atlantic	55.007	-1.44	1946	2014	156.4964646
gesla_0173	1215	Portpatrick	United Kingdom	atlantic	54.843	-5.12	1968	2014	135.2213352
gesla_1115	3	Sheerness	United Kingdom	atlantic	51.442	0.743	1952	2014	12.42002082
295a	314	Stornoway	United Kingdom	atlantic	58.2	-6.38	1976	2016	184.9031673
gesla_0289	1112	Ullapool	United Kingdom	atlantic	57.895	-5.158	1966	2014	161.6290672
gesla_0038	1505	Whitby	United Kingdom	atlantic	54.49	-0.614	1980	2014	158.1637843
gesla_0658	1109	Wick	United Kingdom	atlantic	58.441	-3.086	1965	2014	155.7183759
040a	487	"Adak, AK"	USA	pacific	51.85	-176.62	1950	2018	147.5368867
gesla_0609	1067	"Anchorage, AK"	USA	pacific	61.238	-149.89	1979	2015	0
583b	566	"Cordova-B, AK"	USA	pacific	60.55	-145.75	1964	2018	99.54836378
041b	757	"Dutch Harbor-B, AK"	USA	pacific	53.87	-166.53	1982	2018	181.1066197
gesla_0050	405	"Juneau, AK"	USA	atlantic	58.298	-134.412	1979	2015	191.8807755
571a	225	"Ketchikan, AK"	USA	pacific	55.33	-131.62	1918	2018	149.9619314
039a	567	"Kodiak Island, AK"	USA	pacific	57.72	-152.5	1975	2018	172.5613017
579a	1857	"Prudhoe Bay, AK"	USA	pacific	70.4	-148.52	1989	2018	148.9963931
574a	1634	"Sand Point, AK"	USA	pacific	55.33	-160.5	1973	2018	238.1642812
561a	1070	"Seldovia, AK"	USA	pacific	59.43	-151.72	1975	2018	186.6643733
560c	266	"Seward-C, AK"	USA	pacific	60.12	-149.42	1967	2018	182.0051067
559a	426	"Sitka, AK"	USA	pacific	57.05	-135.33	1938	2018	175.6009615
gesla_1263	495	"Skagway, AK"	USA	pacific	59.45	-135.327	1982	2015	178.0530521
562a	1353	"Valdez, AK"	USA	pacific	61.12	-146.35	1973	2018	230.3820674
570a	445	"Yakutat, AK"	USA	pacific	59.53	-139.73	1961	2018	174.163231
763a	1156	"Dauphin Island, AL"	USA	atlantic	30.25	-88.07	1981	2018	191.0840442
gesla_0825	437	"Alameda, CA"	USA	pacific	37.772	-122.298	1976	2015	54.4345117
573a	2125	"Arena Cove, CA"	USA	pacific	38.9	-123.7	1979	2018	167.066618
556a	378	"Crescent City, CA"	USA	pacific	41.73	-124.18	1933	2018	182.148032
576a	1639	"Humboldt Bay, CA"	USA	pacific	40.77	-124.22	1977	2018	161.2618908
554a	256	"La Jolla, CA"	USA	pacific	32.87	-117.25	1924	2018	176.813473
567a	245	"Los Angeles, CA"	USA	pacific	33.72	-118.27	1923	2018	168.9431013
555a	1352	"Monterey, CA"	USA	pacific	36.6	-121.88	1973	2018	176.153684
565a	508	"Port San Luis, CA"	USA	pacific	35.17	-120.75	1948	2018	169.4971832
569a	158	"San Diego, CA"	USA	pacific	32.7	-117.17	1906	2018	154.3128837
551a	10	"San Francisco, CA"	USA	pacific	37.8	-122.45	1897	2018	149.744451
578a	377	"Santa Monica, CA"	USA	pacific	34	-118.5	1973	2018	170.5030465
gesla_0425	1068	"Bridgeport, CT"	USA	atlantic	41.173	-73.182	1970	2015	8.855402789
744a	429	"New London, CT"	USA	atlantic	41.35	-72.08	1938	2018	201.2507808
gesla_0834	360	"Washington, DC"	USA	atlantic	38.873	-77.022	1950	2015	4.867871969
747a	224	"Lewes, DE"	USA	atlantic	38.77	-75.12	1919	2018	73.05282221
gesla_0170	786	"Reedy Point, DE"	USA	atlantic	39.558	-75.573	1979	2015	4.205842595
760a	1193	"Apalachicola, FL"	USA	atlantic	29.72	-84.97	1976	2018	159.3477534
240a	112	"Fernandina Beach, FL"	USA	atlantic	30.67	-81.47	1897	2018	204.058939
242a	188	"Key West, FL"	USA	atlantic	24.55	-81.8	1913	2018	140.3391004
753a	316	"Mayport, FL"	USA	atlantic	30.38	-81.42	1928	2000	256.7301323
757a	1107	"Naples, FL"	USA	atlantic	26.12	-81.8	1965	2018	212.76234
762a	246	"Pensacola, FL"	USA	atlantic	30.4	-87.2	1923	2018	193.5397684
759a	520	"St. Petersburg, FL"	USA	atlantic	27.75	-82.62	1946	2018	189.8398509
752a	395	"Fort Pulaski, GA"	USA	atlantic	32.03	-80.9	1935	2018	216.5940422
014a	1372	"French Frigate-A, HI"	USA	pacific	23.87	-166.28	1974	2007	172.1842637
060a	300	"Hilo, HI"	USA	pacific	19.73	-155.07	1927	2018	180.6365931
057b	155	"Honolulu, HI"	USA	pacific	21.3	-157.87	1905	2018	144.5481412
059a	521	"Kahului, HI"	USA	pacific	20.9	-156.47	1950	2018	142.9390911
552a	2128	"Kawaihae, HI"	USA	pacific	20.03	-155.83	1989	2018	132.3836847
061a	823	"Mokuoloe, HI"	USA	pacific	21.43	-157.8	1957	2018	143.5622829
