"Gauge_ID"	"PSMSL_ID"	"Station_Name"	"Country"	"Basin"	"Station_Lat"	"Station_Lon"	"Distrib_Fit_Start"	"Distrib_Fit_End"	"MHHW_Exceedances_per_Year"	"GPD_Lambda"	"GPD_Threshold"	"GPD_Shape50"	"GPD_Shape5"	"GPD_Shape95"	"GPD_Scale50"	"GPD_Scale5"	"GPD_Scale95"	"GPD_Vshape"	"GPD_Vscale"	"GPD_Vscaleshape"	"Phi"	"Norm_Max_Mu"	"Norm_Max_Sigma"
"gesla_0640"	1242	"Bamfield, BC"	"Canada"	"pacific"	48.836	-125.136	1969	2015	177.465973857019	1.67442076570437	0.753517865677792	-0.363764862151643	-0.597733636229773	-0.129796088073513	0.189774558112052	0.129830120267	0.249718995957103	0.014250155943031	0.000935409123534468	-0.00329818162153225	0.00458431421137406	0.00239250574717578	0.303431450066685
"gesla_1079"	984	"Bella Bella, BC"	"Canada"	"pacific"	52.163	-128.143	1906	2015	179.286857635262	1.96473522038855	0.926095874125873	-0.203744860352799	-0.416594658554334	0.00910493784873576	0.159781935743212	0.114295158356726	0.205268713129698	0.011793706169743	0.000538609682827177	-0.00213610015404916	0.00537915186964696	0.00272453299364106	0.396302870564932
"gesla_0986"	1323	"Campbell River, BC"	"Canada"	"pacific"	50.042	-125.247	1958	2015	178.908228442608	2.05851963178659	0.62111623632385	-0.165392880037103	-0.358535348053388	0.0277495879791811	0.144808807088021	0.104160391158561	0.185457223017481	0.00971089752425901	0.000430121418632258	-0.00162816255977129	0.00563591959421379	0.00745694394486704	0.223284348549042
"gesla_0440"	688	"Fulford Harbour, BC"	"Canada"	"pacific"	48.769	-123.451	1952	1992	169.326180486417	1.81819798037264	0.592191874619598	-0.401509246009054	-0.59609640607523	-0.206922085942879	0.186595851800794	0.132539247588567	0.240652456013022	0.00985671450091912	0.000760678845030393	-0.00248148313321162	0.00497795477172522	-0.000230895967800411	0.207828013317922
"gesla_0997"	1245	"New Westminster, BC"	"Canada"	"pacific"	49.2	-122.91	1959	2015	150.150840389635	1.11619023365379	0.649694515487354	0.049019548474205	-0.286790937349786	0.384830034298196	0.11044958137377	0.0619875143829208	0.158911648364619	0.0293556921089079	0.000611375013152209	-0.00312329448446478	0.00305596230979818	-0.0532190899115124	0.292667854874846
"gesla_0896"	1152	"Patricia Bay, BC"	"Canada"	"pacific"	48.654	-123.451	1966	2015	170.123611210666	1.88502616299907	0.586064294545954	-0.397582051087724	-0.602948430947485	-0.192215671227963	0.176672029616261	0.124531917699458	0.228812141533064	0.0109789931235246	0.000707697621552411	-0.00252831217522726	0.0051609203641316	0.000309151545452471	0.208497603076739
"gesla_1241"	193	"Point Atkinson, BC"	"Canada"	"pacific"	49.337	-123.253	1914	2015	178.912775652565	1.93145252025203	0.656039297998307	-0.279465711752014	-0.424695370854278	-0.13423605264975	0.160508495426445	0.126008489892302	0.195008500960588	0.00549053233874019	0.000309843327082927	-0.00111059095424365	0.00528802880288029	0.00195601416992553	0.253570334781152
"gesla_0502"	1071	"Port Hardy, BC"	"Canada"	"pacific"	50.722	-127.489	1945	2015	180.481206944062	1.89217415265913	0.907392701911008	-0.221405765843469	-0.40286161845754	-0.0399499132293977	0.149533705489839	0.109473720681524	0.189593690298155	0.00857128189700337	0.000417758580203271	-0.00155587052964026	0.00518049049324883	0.00399157763434546	0.391638472494445
"540a"	167	"Prince Rupert, BC"	"Canada"	"pacific"	54.32	-130.32	1909	2018	183.85497462415	2.01692521306138	1.18965989010989	-0.287805051173712	-0.414879276200277	-0.160730826147147	0.193329336474291	0.156388605919883	0.2302700670287	0.00420357458450754	0.000355234205958983	-0.0010418343706487	0.00552204028216668	0.000923575513190513	0.550559523666055
"gesla_1073"	829	"Queen Charlotte City, BC"	"Canada"	"pacific"	53.252	-132.072	1957	2015	185.441400032929	2.10478294275836	1.16668932038835	-0.132836466683456	-0.300986779035598	0.0353138456686865	0.145060205780199	0.108306715081689	0.181813696478709	0.00736036200409249	0.000351642212392987	-0.00122670884250065	0.00576258163657318	0.00317743849383233	0.547829501543606
